班级名称*,年级*,学生人数*,学年*,状态*,班主任,备注
一年级1班,1,40,2023-2024,true,张老师,
一年级2班,1,40,2023-2024,true,李老师,
一年级3班,1,40,2023-2024,true,王老师,
一年级4班,1,40,2023-2024,true,赵老师,
一年级5班,1,40,2023-2024,true,钱老师,
一年级6班,1,40,2023-2024,true,孙老师,
一年级7班,1,40,2023-2024,true,周老师,
一年级8班,1,40,2023-2024,true,吴老师,
一年级9班,1,40,2023-2024,true,郑老师,
一年级10班,1,40,2023-2024,true,冯老师,
二年级1班,2,40,2023-2024,true,陈老师,
二年级2班,2,40,2023-2024,true,褚老师,
二年级3班,2,40,2023-2024,true,卫老师,
二年级4班,2,40,2023-2024,true,蒋老师,
二年级5班,2,40,2023-2024,true,沈老师,
二年级6班,2,40,2023-2024,true,韩老师,
二年级7班,2,40,2023-2024,true,杨老师,
二年级8班,2,40,2023-2024,true,朱老师,
二年级9班,2,40,2023-2024,true,秦老师,
二年级10班,2,40,2023-2024,true,尤老师,
