场室名称*,房间号*,类型*,容量*,状态*,建筑,楼层,设备,备注
1-1教室,1-1教室,普通教室,50,true,教学楼A,1,,
1-2教室,1-2教室,普通教室,50,true,教学楼A,1,,
1-3教室,1-3教室,普通教室,50,true,教学楼A,1,,
1-4教室,1-4教室,普通教室,50,true,教学楼A,1,,
1-5教室,1-5教室,普通教室,50,true,教学楼A,1,,
1-6教室,1-6教室,普通教室,50,true,教学楼A,1,,
1-7教室,1-7教室,普通教室,50,true,教学楼A,1,,
1-8教室,1-8教室,普通教室,50,true,教学楼A,1,,
1-9教室,1-9教室,普通教室,50,true,教学楼A,1,,
1-10教室,1-10教室,普通教室,50,true,教学楼A,1,,
2-1教室,2-1教室,普通教室,50,true,教学楼A,2,,
2-2教室,2-2教室,普通教室,50,true,教学楼A,2,,
2-3教室,2-3教室,普通教室,50,true,教学楼A,2,,
2-4教室,2-4教室,普通教室,50,true,教学楼A,2,,
2-5教室,2-5教室,普通教室,50,true,教学楼A,2,,
2-6教室,2-6教室,普通教室,50,true,教学楼A,2,,
2-7教室,2-7教室,普通教室,50,true,教学楼A,2,,
2-8教室,2-8教室,普通教室,50,true,教学楼A,2,,
2-9教室,2-9教室,普通教室,50,true,教学楼A,2,,
2-10教室,2-10教室,普通教室,50,true,教学楼A,2,,
计算机房1,IT-1,计算机房,50,true,实验楼,2,电脑,投影仪,
计算机房2,IT-2,计算机房,50,true,实验楼,2,电脑,投影仪,

